Location,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,NewTests,TotalTests,MedianAge,Aged65Older,Aged70Older,GdpPerCapita,ExtremePoverty,CardiovascDeathRate,DiabetesPrevalence,FemaleSmokers,MaleSmokers,HandwashingFacilities,HospitalBedsPerThousand,LifeExpectancy
United States,5/19/2020,1508598,21841,90353,791,401339,12222450,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/29/2020,1721750,21817,101617,1175,487229,16230673,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,3/31/2020,164620,21595,3170,661,112330,1097068,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/25/2020,890524,21352,51017,1054,276150,5237276,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/24/2020,1622670,21236,97087,1080,381505,14272021,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/5/2020,1872660,21140,108211,1036,506275,19317544,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/2/2020,1811277,21086,105147,764,418646,17883571,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/14/2020,1390746,20782,84133,1746,364074,10374801,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/11/2020,2000464,20614,112924,918,459455,21987058,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/25/2020,1643238,20568,97720,633,422588,14694609,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/3/2020,1831821,20544,106181,1034,466714,18350285,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/11/2020,1329799,20258,79528,734,382123,9383131,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,3/29/2020,124665,19979,2191,484,87612,866277,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/20/2020,1528568,19970,91921,1568,407159,12629609,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/16/2020,2114026,19957,116127,395,464529,24489171,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/1/2020,1790191,19807,104383,602,412327,17464925,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/4/2020,1851520,19699,107175,994,460984,18811269,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/15/2020,2094069,19543,115732,296,432811,24024642,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/26/2020,1662302,19064,98220,500,305932,15000541,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/27/2020,1681212,18910,98916,696,308433,15308974,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/18/2020,1486757,18873,89562,808,354713,11821111,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/9/2020,1961185,18822,111007,493,419724,21098604,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/28/2020,1699933,18721,100442,1526,434470,15743444,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,3/28/2020,104686,18695,1707,411,106870,778665,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/10/2020,1979850,18665,112006,999,428999,21527603,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,3/30/2020,143025,18360,2509,318,118461,984738,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/12/2020,1347916,18117,80684,1156,308555,9691686,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
